,Rèf.,Type_de_produit,Longueur(mm),Largeur(mm),Hauteur(mm),Rayon Ø(mm),Volume(L),Taille,Contenance,Couleur,Modèle
3,BAP-02,BOUCHONS HEADSET,,,,,,,,noir,"""roundhead"" 1 1/8"""
4,BAP-03,BOUCHONS HEADSET,,,,,,,,noir,"pour fourche carbone""powerhead"" 1.1/8"""
5,BAP-03,BOUCHONS HEADSET,,,,,,,,,"pour fourche carbone""powerhead"" 1.1/8"""
9,BBB-11,SONNETTES,,,,,,,,,"""loud & clear"""
10,BBB-14,SONNETTES,,,,,,,,,""" easyfit"" deluxe"
11,BBB-16,SONNETTES,,,,,,,,,"légère laiton ""minifit"""
12,BBB-17,SONNETTES,,,,,,,,,"extra light ""noisy"""
13,BBB-11D,SONNETTES,,,,,,,,,"boîte présentoir 20  ""loud & clear"""
14,BBB-14D,SONNETTES,,,,,,,,,"boite présentoir 20  ""easyfit"" deluxe"
15,BBB-16D,SONNETTES,,,,,,,,,"boite présentoir 20  ""minifit"""
16,BBB-17D,SONNETTES,,,,,,,,,"boite présentoir 20  ""noisy"""
17,BBB-18,SONNETTES,,,,,,,,,"""e sound"""
21,BBC-01,PORTE-BIDONS,,,,,,,,,"""ecotank"""
22,BBC-03,PORTE-BIDONS,,,,,,,,,bottlecage fueltank
23,BBC-36,PORTE-BIDONS,,,,,,,,,"""flexcage"""
24,BBC-37,PORTE-BIDONS,,,,,,,,,carbone ud
25,BBC-38R,PORTE-BIDONS,,,,,,,,,"latérale carbone ud droit ""sidecarbon"""
26,BBC-38L,PORTE-BIDONS,,,,,,,,,"latérale carbone ud gauche ""sidecarbon"""
27,BBC-39,PORTE-BIDONS,,,,,,,,,"""dualcage"" composite"
28,BBC-99,PORTE-BIDONS,,,,,,, 100,,boite  vis
29,BBC-40,PORTE-BIDONS,,,,,,,,,"laterale composite ""dualattack"""
30,BBC-41,PORTE-BIDONS,,,,,,,,,"""fastcage"""
31,BBC-81,PORTE-BIDONS,,,,,,,,,"sup bagage ""stackrack"""
32,BBC-90,PORTE-BIDONS,,,,,,,,,sup pour 2 recharges co2hold
